Player,Kristaps Porzingis,Luka Doncic,Bradley Beal,Jayson Tatum,Terry Rozier,LaMelo Ball,Donovan Mitchell,Anthony Davis,LeBron James,Kyrie Irving,Jaylen Brown,Malcolm Brogdon,Miles Bridges,Darius Garland,Stephen Curry,Kevin Durant,Russell Westbrook,Jerami Grant,Paul George,Giannis Antetokounmpo,Khris Middleton,Klay Thompson,James Harden,Brandon Ingram,Nikola Jokic,Julius Randle,RJ Barrett,Shai Gilgeous-Alexander,Jordan Poole,Devin Booker,Joel Embiid,Zach LaVine,Norman Powell,DeMar DeRozan,Trae Young,Anthony Edwards,Karl-Anthony Towns,Domantas Sabonis,Damian Lillard,Fred VanVleet,Dejounte Murray,Dillon Brooks,Tyler Herro,Jimmy Butler,De'Aaron Fox,CJ McCollum,Gary Trent Jr.,Pascal Siakam,Ja Morant,Bam Adebayo
Kristaps Porzingis,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Doncic,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley Beal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayson Tatum,0,0,0,0,6,0,0,0,0,6,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry Rozier,0,0,0,6,0,5,0,0,0,6,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaMelo Ball,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donovan Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Davis,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LeBron James,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrie Irving,0,1,0,6,6,0,0,0,3,0,6,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
