PLAYER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Box +/-,index_y,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Anthony Davis,40.0,17.0,23.0,35.1,23.2,9.3,17.4,53.2,0.3,1.8,18.6,4.4,6.1,71.3,2.7,7.2,9.9,3.1,2.1,1.2,2.3,2.4,47.9,19.0,0.0,-2.3,9842.42857142857,29.0,208.64285714285714,112.62041371428572,61.857142857142854,25.514285714285712,10.37142857142857,2.6714285714285713,2.957142857142857,0.06985714285714285,0.23257142857142857,0.2925714285714286,0.5864285714285714,0.13085714285714284
Anthony Edwards,72.0,39.0,33.0,34.2,21.3,7.6,17.3,44.1,3.0,8.4,35.7,3.1,3.9,78.6,0.9,3.9,4.8,3.8,2.6,1.5,0.6,2.3,36.4,4.0,0.0,2.6,11353.0,20.0,193.04,102.0582,72.0,19.3,4.7,2.9,-5.0,0.023,0.121,0.264,0.523,0.142
Bam Adebayo,56.0,36.0,20.0,32.6,19.1,7.3,13.0,55.7,0.0,0.1,0.0,4.6,6.1,75.3,2.4,7.6,10.1,3.4,2.6,1.4,0.8,3.1,40.2,27.0,0.0,5.4,10605.75,24.0,207.01,115.66596,71.75,12.6,8.0,3.55,1.375,0.079,0.21074999999999994,0.18975,0.60425,0.1915
Bradley Beal,40.0,17.0,23.0,36.0,23.2,8.7,19.3,45.1,1.6,5.3,30.0,4.2,5.1,83.3,1.0,3.8,4.7,6.6,3.4,0.9,0.4,2.4,39.3,4.0,0.0,-2.6,9817.714285714286,29.0,194.12857142857143,93.893544,68.0,23.685714285714287,4.085714285714286,4.285714285714286,0.7857142857142855,0.026714285714285697,0.09557142857142856,0.27899999999999997,0.5698571428571428,0.19671428571428567
Brandon Ingram,55.0,29.0,26.0,34.0,22.7,8.2,17.9,46.1,1.3,4.1,32.7,4.8,5.9,82.6,0.6,5.2,5.8,5.6,2.7,0.6,0.5,2.2,38.5,7.0,0.0,2.2,10348.6,24.0,204.216,86.18248,62.6,18.28,5.08,3.62,-2.5,0.023199999999999978,0.1264,0.23359999999999995,0.5472,0.1638
CJ McCollum,62.0,28.0,34.0,34.6,22.1,8.6,18.8,46.0,2.9,7.6,38.8,1.9,2.7,68.2,0.9,3.5,4.3,5.1,2.0,1.1,0.4,2.0,37.3,3.0,0.0,-1.1,9842.142857142857,30.0,191.22571428571428,87.47845714285714,70.0,19.75714285714286,3.4857142857142853,3.4857142857142853,3.3285714285714287,0.019285714285714288,0.08885714285714286,0.254,0.5528571428571428,0.16914285714285712
Damian Lillard,29.0,12.0,17.0,36.4,24.0,7.7,19.0,40.2,3.2,9.8,32.4,5.5,6.2,87.8,0.4,3.7,4.1,7.3,2.9,0.6,0.4,1.3,39.9,8.0,0.0,-1.0,9875.714285714286,31.0,189.77428571428572,88.45044,74.0,26.37142857142857,4.442857142857143,6.8428571428571425,3.7571428571428567,0.017714285714285714,0.10685714285714286,0.29457142857142854,0.5911428571428571,0.30871428571428566
Darius Garland,68.0,37.0,31.0,35.7,21.7,8.0,17.3,46.2,2.6,6.7,38.3,3.2,3.5,89.2,0.6,2.7,3.3,8.6,3.6,1.3,0.1,1.7,39.1,29.0,1.0,5.5,11153.5,22.0,185.42,87.089664,56.5,14.85,2.15,5.0,-7.6499999999999995,0.01349999999999995,0.054,0.223,0.5225,0.24
De'Aaron Fox,59.0,22.0,37.0,35.3,23.2,8.7,18.5,47.3,1.3,4.2,29.7,4.4,5.9,75.0,0.4,3.5,3.9,5.6,2.8,1.2,0.4,2.9,38.1,5.0,0.0,-3.3,10629.0,24.0,190.5,81.64656,65.75,18.8,3.4749999999999996,6.425,-4.449999999999999,0.017,0.0915,0.26475,0.53625,0.306
DeMar DeRozan,76.0,43.0,33.0,36.1,27.9,10.2,20.2,50.4,0.7,1.9,35.2,6.8,7.8,87.7,0.7,4.4,5.2,4.9,2.4,0.9,0.3,2.3,42.7,6.0,0.0,1.0,9869.57142857143,32.0,199.93428571428572,99.79024,71.14285714285714,22.685714285714287,4.8428571428571425,5.042857142857143,1.7571428571428573,0.022714285714285715,0.12299999999999998,0.2864285714285714,0.5575714285714286,0.2397142857142857
Dejounte Murray,68.0,30.0,38.0,34.8,21.1,8.4,18.3,46.2,1.4,4.3,32.7,2.9,3.6,79.4,1.2,7.1,8.3,9.2,2.6,2.0,0.3,2.0,49.4,39.0,13.0,0.7,10394.0,25.0,194.31,79.3786,63.0,9.525,4.925,3.425,1.325,0.0375,0.17174999999999996,0.22,0.50525,0.22899999999999995
Devin Booker,68.0,56.0,12.0,34.5,26.8,9.7,20.9,46.6,2.7000000000000006,7.0,38.3,4.6,5.3,86.8,0.6999999999999998,4.4,5.0,4.8,2.4,1.1,0.4000000000000001,2.6,42.2,5.0,0.0,6.900000000000001,10109.333333333334,25.0,197.27333333333334,94.04474133333333,68.16666666666667,23.266666666666666,3.783333333333333,4.716666666666667,-3.3833333333333333,0.014999999999999984,0.09833333333333331,0.2915,0.5693333333333334,0.22833333333333336
Dillon Brooks,32.0,22.0,10.0,27.7,18.4,7.1,16.4,43.2,1.4,4.7,30.9,2.8,3.3,84.9,0.9,2.3,3.2,2.8,1.6,1.1,0.3,3.3,29.0,0.0,0.0,6.4,10570.25,26.0,199.39,100.92421999999999,60.0,12.975,2.75,1.725,-0.6000000000000001,0.026249999999999975,0.07825,0.2235,0.51375,0.09674999999999997
Domantas Sabonis,62.0,21.0,41.0,34.4,18.9,7.1,12.5,57.3,0.6,2.0,31.2,4.0,5.4,74.1,3.2,8.9,12.1,5.2,3.1,1.0,0.4,3.3,42.3,46.0,5.0,-0.2,10376.8,26.0,210.31199999999998,109.9507008,70.6,14.080000000000002,9.0,3.5200000000000005,1.6,0.0758,0.2361999999999999,0.21319999999999997,0.5706,0.1756
